DATASET,WEIGHT,SMOOTH,FREQ,METHOD,DZ,DZ_err_low,DZ_err_high,PHI_0,PHI_0_err_low,PHI_0_err_high,DXY,DXY_err_low,DXY_err_high,R2,Chi2,cramer,KS,KS_res,Wavelength_cm,DZ_phys,DZ_err_low_phys,DZ_err_high_phys,DXY_phys,DXY_err_low_phys,DXY_err_high_phys
Horizontal_Copolar,Amplitude,False,0.9,ODR,-3.7395170570852687,-3.734421636928371,-3.744716434665985,-1371.7951182470615,57.374128765927864,57.2181299651875,0.03136912748154824,0.03166918964682172,-0.1174684872212861,0.9875423967093457,0.0004590732505626779,0.4909328269497629,0.10800780922968767,5.076113246482174e-25,33.31,-124.56433447516876,-124.39460463812665,-124.73752716239021,1.0449142036676329,1.054909356343204,-3.912907391290105
Horizontal_Copolar,Amplitude,False,0.925,ODR,-3.765014079744613,-3.760275066265203,-3.769858864306574,-1382.3166333429006,57.36938906086632,57.221991724671845,0.015226228347149465,0.014966158845235032,-0.05740073190445744,0.9920534488706683,0.00026507588887840207,0.6367996399978388,0.13441979335135837,5.412753434444198e-24,32.41,-122.02408922932383,-121.87049782397385,-122.18110867497906,0.4934819915958071,0.4850531402196164,-1.8603574603931154
Horizontal_Copolar,Amplitude,False,0.95,ODR,-3.37127175386667,-3.3666378365397716,-3.375842480425425,-1240.1497213156392,57.37474060955699,57.218531927311474,0.002185742930230551,0.0019181674164758383,-0.00737872383516184,0.9931617224606892,0.00018649412801913966,0.9999907605633102,0.9952486432790446,2.363596479220292e-23,31.56,-106.38756270291158,-106.24132970653267,-106.5318015818479,0.06897571006420415,0.06053180259376856,-0.2328511321522479
Horizontal_Copolar,Amplitude,False,0.975,ODR,-3.6750744939821134,-3.671161279236471,-3.678915744220628,-1349.9887837323924,57.3554037133425,57.235129982812374,0.000280560702606739,0.0005175919027049361,-0.0010321591860295335,0.9940166236243462,0.00015856550164413248,0.9812141254433405,0.9052627264915449,2.3502242261278433e-22,30.75,-113.00098624451323,-112.88066293504882,-113.11909679331296,0.008626664887454491,0.015914887051570216,-0.0317367732745716
Horizontal_Copolar,Amplitude,False,1.0,ODR,-4.205358091627608,-4.197788107483798,-4.212923265960305,-1542.9001007009651,57.39587817715467,57.194512891004734,0.05789352811581413,0.058296601696895704,-0.24390099154764042,0.9831319612090282,0.00044678956923530837,0.6221840553252621,0.18761407787239476,2.703666787091869e-21,29.98,-126.07346390592299,-125.84652149057361,-126.30026212676277,1.7356043096132028,1.7476881515759335,-7.311967776470435
Horizontal_Copolar,Amplitude,False,1.025,ODR,-3.8534605962585027,-3.8476182528129317,-3.8591363384840114,-1415.9629269508414,57.380985222639396,57.21262976900713,0.004801634837363254,0.004524362613105997,-0.0185301634849993,0.9863784516674553,0.0002764521501434653,0.7305433777500268,0.535898476863694,6.602801229433626e-21,29.25,-112.70618770326655,-112.53531058111749,-112.87219206548701,0.14043843027429856,0.1323287598698878,-0.5419710495911987
Horizontal_Copolar,Amplitude,False,1.05,ODR,-4.223450757256449,-4.218725371958944,-4.228349630708244,-1550.1370966349227,57.36087421291212,57.22915083636323,0.003058727957754559,0.003321728286201069,-0.012933371230608472,0.9909280523605061,0.00020283716579506044,0.6360718971231223,0.31234052478072455,1.6294716583759982e-20,28.55,-120.58654131046401,-120.45162370347961,-120.72641229270636,0.08733176883891042,0.0948408654979377,-0.36926925251910464
Horizontal_Copolar,Amplitude,False,1.075,ODR,-3.9566286032329976,-3.951476161641768,-3.96143741021658,-1455.7132680704904,57.369066377664005,57.224081328578265,0.02086909810453741,0.021074519141213117,-0.08267162594879442,0.9942873435018863,9.601130224304662e-05,0.8596334697573058,0.38121493267456624,6.02809391037341e-20,27.89,-110.34115482384438,-110.19746523041776,-110.47526124855654,0.5819905318141777,0.5877192460011469,-2.3055190651205266
Horizontal_Copolar,Amplitude,False,1.1,ODR,-3.612269168503329,-3.6087940639775575,-3.615778086789528,-1331.179160781864,57.351880332874636,57.239819714203584,0.015168269856610945,0.01499266195463887,-0.05484509776204399,0.9954266511375379,7.232273929342944e-05,0.9654191975747565,0.9429696194116872,4.197947296660836e-20,27.25,-98.44827754392993,-98.35356753233103,-98.54390911101545,0.41339390035642753,0.40860790721311563,-1.4947406061212245
Horizontal_Copolar,Amplitude,False,1.125,ODR,-3.968018004995927,-3.964136447938373,-3.972054095723327,-1460.2741090692234,57.35583152100699,57.2414431435575,0.0417804182715098,0.04155247568283867,-0.16595408151638422,0.9933798954042325,0.000109325633630078,0.7198358467204231,0.49243785106712834,5.2544783118508735e-20,26.65,-105.74061076497647,-105.63717418442968,-105.84816539252121,1.1133737146563587,1.1072994507505276,-4.422380623371484
Horizontal_Copolar,Amplitude,False,1.15,ODR,-4.0490442357049865,-4.045709150879942,-4.052504286951683,-1490.1081891181047,57.34426546517667,57.24778718478726,0.0002690491294109308,0.0004397359159241551,-0.0010903227503384152,0.9943404534978655,7.541779060749702e-05,0.9051882462410844,0.702688650071809,8.621206406627223e-19,26.07,-105.55416730197646,-105.46722527786005,-105.64436706441586,0.007013817376422873,0.011463435748329026,-0.0284235249858499
Horizontal_Copolar,Amplitude,False,1.175,ODR,-3.868375214270548,-3.8659025166400585,-3.8709181019813967,-1425.8824537980156,57.33250645275446,57.25958115369356,0.0004528008203569104,0.0003543770293403779,-0.001752754892111591,0.9966108395848344,3.9824291707646526e-05,0.9989242904514122,0.9780177907450375,2.71957688002715e-18,25.51,-98.69869905978248,-98.6356100299497,-98.76357893699554,0.011552874120784222,0.009041664739122554,-0.04472022956405606
Horizontal_Copolar,Amplitude,False,1.2,ODR,-3.8681495571131292,-3.864733036088956,-3.8717040179108047,-1426.491168067827,57.347479597578136,57.243601470017836,0.0018366977544332264,0.0019978302260878103,-0.007111150075526875,0.9960979335788362,4.126629486251072e-05,0.9985504587573024,0.9750686445483481,5.962482609542498e-18,24.98,-96.63683863654637,-96.55148470024257,-96.72563868149635,0.045885677867051444,0.04991120284546336,-0.17765576336242395
Horizontal_Copolar,Amplitude,False,1.225,ODR,-4.327510938037904,-4.322576900664873,-4.332559231366737,-1592.906925207427,57.36152903347785,57.23012470377169,0.008318317992756069,0.008467630283368999,-0.036039605408959334,0.9923369320599587,9.065024187454635e-05,0.8772005502734104,0.41397027807156755,9.836049113839189e-18,24.47,-105.906542133573,-105.78579215872197,-106.03008827771632,0.20357297938563004,0.2072270772315452,-0.881991991094042
Horizontal_Copolar,Amplitude,False,1.25,ODR,-4.4010595826293955,-4.398195901039078,-4.403958493434834,-1619.6431337707309,57.33484690235036,57.25836642979738,0.026511593406972882,0.026391593730765148,-0.11675595695912916,0.9970222808518594,3.649565468241517e-05,0.99447087082132,0.9025824944167903,1.4483947971249094e-17,23.98,-105.55235760647363,-105.4836767950424,-105.62188333414444,0.6358380602378395,0.6329600604066778,-2.8002044258335625
Horizontal_Copolar,Amplitude,False,1.275,ODR,-4.287644125234584,-4.284995428990463,-4.29046035008596,-1579.4813020097504,57.33061580014148,57.25898461128225,0.015643385497770446,0.015500145729877854,-0.06711732521929381,0.9963621934676254,3.747483460634964e-05,0.9946523799049974,0.9679631089866633,4.5945114705987563e-17,23.51,-100.81595069281065,-100.7536715432012,-100.88216896500472,0.36782501880926705,0.3644570029582969,-1.5781386589707826
Horizontal_Copolar,Amplitude,False,1.3,ODR,-4.5357855066992485,-4.530931401293069,-4.540608929680374,-1669.662629581393,57.35582057573076,57.23602040114514,0.018364260811242764,0.018165857229268008,-0.08338492662650825,0.990735882052724,9.574321428637515e-05,0.6648357819280066,0.2788029160571654,5.067935575044205e-17,23.06,-104.5995604626264,-104.48762014023335,-104.7107932188945,0.42349745291965707,0.41892207618764044,-1.9229363164238888
Horizontal_Copolar,Amplitude,True,0.9,ODR,-3.724902219609108,-3.71951736454545,-3.7302776324480704,-1366.566756558129,57.37669850143553,57.21579578110029,0.039102980999824344,0.03942506579020045,-0.14586497538568663,0.9875423797997624,0.00045907387369517036,0.4909328269497629,0.10800780922968767,5.076362951466933e-25,33.31,-124.07751024736335,-123.89813925452916,-124.25656671711417,1.3025309765627373,1.3132597088951004,-4.858802167442721
Horizontal_Copolar,Amplitude,True,0.925,ODR,-3.782562962990928,-3.7773861762107397,-3.7875291515283824,-1388.614473002662,57.37169427453033,57.22078482458376,0.007297525394563422,0.007043687500330388,-0.02763959016592762,0.9920533953398232,0.0002650776745255495,0.6367996399978388,0.13441979335135837,5.412988391887701e-24,32.41,-122.59284845565548,-122.425068819615,-122.75380260360521,0.2365127649030906,0.22828587990355922,-0.8957989917790345
Horizontal_Copolar,Amplitude,True,0.95,ODR,-3.350938565746158,-3.3459916428868777,-3.3555128167996355,-1232.8472681160763,57.3766407240951,57.2165123583824,0.004340924158110151,0.004619091460386134,-0.01456602664929378,0.9931617240102898,0.0001864940857582921,0.9999907605633102,0.9952486432790446,2.3635974986015048e-23,31.56,-105.7459062349511,-105.58979569142267,-105.89025633672279,0.13698698140541293,0.1457651350143125,-0.45966157184055645
Horizontal_Copolar,Amplitude,True,0.975,ODR,-3.690684283657621,-3.6868223434514418,-3.6945953212182676,-1355.602105327476,57.35656546206712,57.23656653151744,0.007896230877967972,0.008139725578318293,-0.02917337765699968,0.9940166237447975,0.0001585654984520529,0.9812141254433405,0.9052627264915449,2.3502350850257004e-22,30.75,-113.48095518971152,-113.3622084669362,-113.60121155521271,0.24279286808630934,0.25027982959687306,-0.8970213944568426
Horizontal_Copolar,Amplitude,True,1.0,ODR,-4.160441094026895,-4.151979930972298,-4.168488239929874,-1526.8166694580536,57.40705331898842,57.184411321546605,0.06594252028526648,0.06631293924756779,-0.2748806203204705,0.9831319705648461,0.00044678932142453,0.6221840553252621,0.18761407787239476,2.70366081153479e-21,29.98,-124.72688619425321,-124.47322690728556,-124.96813355926707,1.97690702430349,1.9880119054233019,-8.240713682243861
Horizontal_Copolar,Amplitude,True,1.025,ODR,-3.875051821355835,-3.870030571629973,-3.8800941087223464,-1423.7280367869466,57.37369953459104,57.22179866204545,0.003031244828709056,0.0032790750079586635,-0.011761515201969086,0.9863784688852694,0.00027645180070435464,0.7305433777500268,0.535898476863694,6.6031020709446045e-21,29.25,-113.33768881967247,-113.19082708332631,-113.48516586587235,0.08865798419497337,0.09590653235144364,-0.344001322166115
Horizontal_Copolar,Amplitude,True,1.05,ODR,-4.243920338661274,-4.239042031376495,-4.248607630137771,-1557.4975313689822,57.359588700660986,57.23068861193105,0.011614322370683484,0.011830481704716296,-0.04934469864296565,0.9909280525336841,0.00020283716192301944,0.6360718971231223,0.31234052478072455,1.629470012705154e-20,28.55,-121.17098189366246,-121.03169810968309,-121.30481185871973,0.3316082144296751,0.3377799228172313,-1.4088731900422797
Horizontal_Copolar,Amplitude,True,1.075,ODR,-3.9456866070697134,-3.9409020241009696,-3.95041739704366,-1451.8019347460745,57.364324751928,57.228399397576005,0.028413062588557338,0.028603658579113664,-0.11224345675312727,0.9942873384001658,9.601138798648699e-05,0.8596334697573058,0.38121493267456624,6.028088353013258e-20,27.89,-110.03600804010321,-109.90257716673534,-110.16793875215635,0.7923741276959485,0.7976894058814207,-3.1302085390173695
Horizontal_Copolar,Amplitude,True,1.1,ODR,-3.615471794223946,-3.6125023496040605,-3.6183856772179306,-1332.327693022609,57.34314037396759,57.24838663912907,0.007905752488561353,0.007764811532566962,-0.028606061572240413,0.9954266572445895,7.232264271678357e-05,0.9654191975747565,0.9429696194116872,4.1978987325039674e-20,27.25,-98.53556145636973,-98.45463262896152,-98.61497601501436,0.21546227008049318,0.21162108502318153,-0.779625592040118
Horizontal_Copolar,Amplitude,True,1.125,ODR,-3.9643107766550463,-3.9606147296639667,-3.9680925423236078,-1458.9213132820792,57.351075457333735,57.243819305861855,0.033704730777518815,0.03352280785991076,-0.13374349083929737,0.9933798835185118,0.0001093258299130729,0.7198358467204231,0.49243785106712834,5.254541159903213e-20,26.65,-105.64181973416048,-105.543326666397,-105.74259705197008,0.8981710298684993,0.8933231082119438,-3.5640257653523064
Horizontal_Copolar,Amplitude,True,1.15,ODR,-4.055784058781226,-4.052645409809984,-4.058801272168238,-1492.5336993107344,57.33779435715656,57.2521635836789,0.008281902998421686,0.008415398673870691,-0.03361459842596789,0.9943404486638958,7.541785502384342e-05,0.9051882462410844,0.702688650071809,8.6204506273299705e-19,26.07,-105.72986713906438,-105.64804598342195,-105.80852260146462,0.21590017885342674,0.2193802655208378,-0.8762959205916386
Horizontal_Copolar,Amplitude,True,1.175,ODR,-3.8676678627347063,-3.8657731456174846,-3.8696155182451637,-1425.632295352816,57.324194099401524,57.26667330013811,0.0068214638564204405,0.0068974340887134515,-0.026396442395953037,0.9966108398156492,3.982428899546029e-05,0.9989242904514122,0.9780177907450375,2.7195831496205142e-18,25.51,-98.68065151462504,-98.63230922511129,-98.73034448763077,0.1740445460999526,0.17598286973177837,-0.6734854764543123
Horizontal_Copolar,Amplitude,True,1.2,ODR,-3.876464729646448,-3.87339074486442,-3.879459302213372,-1429.4850387284246,57.33925468884909,57.25118738243641,0.009334039160841181,0.009457212812570002,-0.03621102504974922,0.9960979350774716,4.1266279013695904e-05,0.9985504587573024,0.9750686445483481,5.962609495347996e-18,24.98,-96.84457413758452,-96.76777768311294,-96.91938666012597,0.2331895452580696,0.23626675624245452,-0.9046493505303242
Horizontal_Copolar,Amplitude,True,1.225,ODR,-4.329194725752877,-4.32529817104366,-4.333426827143925,-1593.524272180769,57.34938080312725,57.24126566094817,0.016570878502759286,0.01670202972082758,-0.07180868945319965,0.9923369185541936,9.065040164095912e-05,0.8772005502734104,0.41397027807156755,9.836042660293525e-18,24.47,-105.94774922400742,-105.85238941061905,-106.05132082225457,0.4055366855152299,0.4087463300894656,-1.7573635524027267
Horizontal_Copolar,Amplitude,True,1.25,ODR,-4.394036986867074,-4.391701051560527,-4.396426669169659,-1617.1033623902129,57.32764331159631,57.26495326389727,0.0180595908426479,0.017971529050572404,-0.07939766681490938,0.9970222806692852,3.649565692008801e-05,0.99447087082132,0.9025824944167903,1.4484055260544848e-17,23.98,-105.38393190686351,-105.3279082438812,-105.44124460536999,0.4331303303353364,0.4310183094471606,-1.9042257355125372
Horizontal_Copolar,Amplitude,True,1.275,ODR,-4.267816775064332,-4.26493468921224,-4.27068679903422,-1572.3463097153513,57.33506090993838,57.25801560931119,0.007648155446244241,0.007531973176292736,-0.03266287650123695,0.9963621957771164,3.7474810815146395e-05,0.9946523799049974,0.9679631089866633,4.5944751256973705e-17,23.51,-100.34974755217011,-100.28198068144341,-100.41723081024476,0.17983210356044296,0.1771002942832052,-0.7680065907181384
Horizontal_Copolar,Amplitude,True,1.3,ODR,-4.535275896952667,-4.53060462544899,-4.539949973856796,-1669.4787631718139,57.35240035489919,57.23787315888761,0.009417831006066074,0.009248334648741956,-0.042756481629777396,0.9907358481225852,9.574356494906853e-05,0.6648357819280066,0.2788029160571654,5.067514048263508e-17,23.06,-104.58780837350729,-104.48008437611708,-104.69559706612036,0.21718420817978162,0.21327545975022444,-0.9860054402479085
Horizontal_Copolar,Uniform,False,0.9,ODR,-3.3628324301483983,-3.3591468994271714,-3.366483133465221,-1236.9475837153964,57.36028774123067,57.23303820701263,0.011955866474525526,0.012159963983889598,-0.040249222832452476,0.987542378328738,0.00045907392790366666,0.4909328269497629,0.10800780922968767,5.0763430430467335e-25,33.31,-112.01686667514461,-111.89410064026116,-112.13847259967562,0.39825317754642237,0.4050517213246372,-1.340712605058961
Horizontal_Copolar,Uniform,False,0.925,ODR,-3.456651553632512,-3.453607125039509,-3.459734678327112,-1271.8643403566964,57.34609097593921,57.24639045641452,0.0009220555297316435,0.001060124739199045,-0.0031900674915558425,0.9920533961241876,0.0002650776483612297,0.6367996399978388,0.13441979335135837,5.412997780432432e-24,32.41,-112.0300611581632,-111.93139124128732,-112.12998521551613,0.02988381553197205,0.034358637983901694,-0.10339007291669408
Horizontal_Copolar,Uniform,False,0.95,ODR,-3.3602604963900964,-3.3576434826182124,-3.362965121894156,-1236.1939039436622,57.340577100031865,57.249544475973316,0.013738967982793514,0.01359088356074673,-0.0462036701369551,0.9931617246768746,0.0001864940675791299,0.9999907605633102,0.9952486432790446,2.3635870565717216e-23,31.56,-106.04007934032497,-105.95749397282044,-106.1254294800967,0.4335619980994705,0.4288888830597952,-1.4580538777872596
Horizontal_Copolar,Uniform,False,0.975,ODR,-3.5916010512915713,-3.588543555038597,-3.594648201222504,-1320.104415214168,57.346061874933895,57.249238696060885,0.007417299673578789,0.007589439407325039,-0.026662582929558257,0.9940166239473237,0.00015856549308490347,0.9812141254433405,0.9052627264915449,2.3502118144952332e-22,30.75,-110.43434946893171,-110.34033774411068,-110.52804306561774,0.2280667180374136,0.23335966100143965,-0.8198196177519088
Horizontal_Copolar,Uniform,False,1.0,ODR,-3.8407359625651667,-3.835557557828566,-3.845988774771765,-1412.1544013646605,57.37323940088483,57.218857564779775,0.030880681117126243,0.03115565107904765,-0.11876675293377394,0.9831319626241125,0.0004467895317534827,0.6221840553252621,0.18761407787239476,2.7036718210887595e-21,29.98,-115.14236747464074,-114.9871228061903,-115.2998428229236,0.9257795296817463,0.9340229217578048,-3.5605376790694803
Horizontal_Copolar,Uniform,False,1.025,ODR,-3.5282316783519674,-3.5242248536287386,-3.5326107520540173,-1299.3571132061334,57.3644744866282,57.2297305621485,0.015161163899428677,0.015386954961841965,-0.05355849060477496,0.9863784596876075,0.00027645198737281197,0.7305433777500268,0.535898476863694,6.60297995340716e-21,29.25,-103.19387778015627,-103.07668599161462,-103.32195712346366,0.4434343991756672,0.4500383462581365,-1.566481126358575
Horizontal_Copolar,Uniform,False,1.05,ODR,-3.883429325396281,-3.8789230376859836,-3.8879892904285414,-1428.2007874904932,57.36265491678896,57.2318366002605,0.0168558834511871,0.017052383027187437,-0.06553549433892712,0.990928060681203,0.00020283697975490188,0.6360718971231223,0.31234052478072455,1.629468522931873e-20,28.55,-110.87836408855551,-110.74970208197215,-111.0085586719284,0.4812634982469432,0.48687388785504787,-1.8711473270582901
Horizontal_Copolar,Uniform,False,1.075,ODR,-3.683157733099815,-3.6801188534437523,-3.6862570897465012,-1357.5766279771333,57.34387719772545,57.24976565960712,0.01401726599024558,0.014137803824985624,-0.051671246135405274,0.9942873430771566,9.60113093813809e-05,0.8596334697573058,0.38121493267456624,6.028082157936515e-20,27.89,-102.714689303042,-102.62994202846923,-102.8011231400028,0.3909088954098164,0.3942704148292318,-1.4409906871494091
Horizontal_Copolar,Uniform,False,1.1,ODR,-3.5770813108934147,-3.573875233301441,-3.5802741394420314,-1318.589763738519,57.347576796140345,57.243926082084215,0.009219206297399536,0.009065696786050402,-0.03300728589276068,0.9954266500275086,7.232275684738529e-05,0.9654191975747565,0.9429696194116872,4.197967379738386e-20,27.25,-97.48927260532719,-97.40189461606931,-97.57628950701468,0.251258956064226,0.2470752293611591,-0.89957594269995
Horizontal_Copolar,Uniform,False,1.125,ODR,-3.5625277879117045,-3.5591680980650238,-3.5658870468460275,-1314.7726797403084,57.34931398412956,57.24523400613833,0.04001409415949374,0.039852147299027384,-0.142685740054616,0.9933798928474752,0.00010932567585284335,0.7198358467204231,0.49243785106712834,5.254525673085436e-20,26.65,-94.93501886500913,-94.84548911591988,-95.02453713105172,1.066304323797162,1.061988728475865,-3.8023207762242124
